topic_id,words,scores
123,tdcs | children | transcranial | hdtdcs | transcranial direct | stimulation | direct current | current stimulation | direct | current,0.0494 | 0.0335 | 0.0296 | 0.0269 | 0.0267 | 0.0266 | 0.0263 | 0.0256 | 0.0215 | 0.0180
124,laparoscopic | surgical | 3d | 2d | haptic feedback | visualization | haptic | surgery | spatial | spatial ability,0.0498 | 0.0478 | 0.0449 | 0.0401 | 0.0374 | 0.0338 | 0.0333 | 0.0307 | 0.0263 | 0.0234
125,haptic | device | rendering | rehabilitation | robotic | stroke | therapists | patients | range motion | passive,0.0566 | 0.0285 | 0.0255 | 0.0229 | 0.0226 | 0.0197 | 0.0195 | 0.0191 | 0.0170 | 0.0163
126,quiet eye | quiet | eye | gaze | qe | duration | basketball | focus | gaze behavior | attention,0.0745 | 0.0716 | 0.0528 | 0.0499 | 0.0445 | 0.0300 | 0.0211 | 0.0197 | 0.0183 | 0.0179
127,mglur1 | mice | synaptic | purkinje | metabotropic | cerebellar | purkinje cells | signaling | pcs | metabotropic glutamate,0.0699 | 0.0510 | 0.0402 | 0.0378 | 0.0325 | 0.0313 | 0.0299 | 0.0291 | 0.0289 | 0.0286
128,driving | drivers | steering | vehicle | driver | postural stability | control | lateral | training programs | safety,0.0968 | 0.0938 | 0.0934 | 0.0880 | 0.0774 | 0.0225 | 0.0198 | 0.0185 | 0.0184 | 0.0182
129,observation | action observation | action | tms | corticospinal excitability | corticospinal | motor imagery | imagery | excitability | ao,0.0622 | 0.0600 | 0.0509 | 0.0314 | 0.0297 | 0.0296 | 0.0293 | 0.0292 | 0.0271 | 0.0267
130,dopamine | comt | genetic | ldopa | polymorphisms | polymorphism | gene | dopaminergic | d2 | neurotransmission,0.0768 | 0.0603 | 0.0430 | 0.0378 | 0.0367 | 0.0308 | 0.0299 | 0.0226 | 0.0217 | 0.0213
131,infants | high risk | cerebral palsy | palsy | risk | cp | intervention | cerebral | infant | early,0.0665 | 0.0410 | 0.0404 | 0.0403 | 0.0401 | 0.0365 | 0.0360 | 0.0356 | 0.0315 | 0.0268
132,stereotype | threat | stereotype threat | gender | st | performance learning | negative | girls | participants | worse,0.1804 | 0.1325 | 0.1314 | 0.0742 | 0.0357 | 0.0356 | 0.0303 | 0.0249 | 0.0194 | 0.0187
133,circle drawing | timing | circle | drawing | event | tapping | emergent | synchronization | metronome | tones,0.0517 | 0.0507 | 0.0437 | 0.0386 | 0.0334 | 0.0328 | 0.0299 | 0.0292 | 0.0218 | 0.0199
