Topic,Count,Name,Representation,Representative_Docs
158,19,158_vr_reality_virtual_virtual reality,"['vr', 'reality', 'virtual', 'virtual reality', 'sports', 'extended', 'technology', 'vr training', 'real world', 'real']",
159,19,159_qmt_quadrato motor_quadrato_meditation,"['qmt', 'quadrato motor', 'quadrato', 'meditation', 'creativity', 'wellbeing', 'motor training', 'cognitive', 'electrophysiological', 'cognitive control']",
160,18,160_bci_bcis_braincomputer_interfaces,"['bci', 'bcis', 'braincomputer', 'interfaces', 'desynchronization', 'brain', 'brainmachine', 'stroke', 'interface', 'bmi']",
161,18,161_sequences_sensorymotor_motor skills_processes,"['sequences', 'sensorymotor', 'motor skills', 'processes', 'elsevier', 'motor sequences', 'areas', 'sequence', 'structures', 'related']",
162,18,162_sequence_interference_fos_offline,"['sequence', 'interference', 'fos', 'offline', 'gains', 'chunking', 'chunks', 'sequence learning', 'sequences', 'offline learning']",
163,18,163_strength_strength training_cross_resistance training,"['strength', 'strength training', 'cross', 'resistance training', 'resistance', 'adaptations', 'corticospinal', 'contractions', 'unilateral', 'crosseducation']",
164,17,164_exoskeleton_assistance_powered_walking,"['exoskeleton', 'assistance', 'powered', 'walking', 'soleus', 'ankle', 'gait', 'muscle', 'orthosis', 'robotic']",
165,17,165_vor_model_cerebellar_cell,"['vor', 'model', 'cerebellar', 'cell', 'cerebellum', 'parallel', 'gain', 'cells', 'okr', 'vor motor']",
166,17,166_game_games_video_video game,"['game', 'games', 'video', 'video game', 'video games', 'cognitive science', 'skill', 'data', 'skill acquisition', 'cognitive']",
167,17,167_wheelchair_propulsion_propulsion technique_wheelchair propulsion,"['wheelchair', 'propulsion', 'propulsion technique', 'wheelchair propulsion', 'mechanical efficiency', 'technique', 'mechanical', 'efficiency', 'users', 'manual']",
168,17,168_piano_experts_pianists_shoulder,"['piano', 'experts', 'pianists', 'shoulder', 'novices', 'musical', 'joints', 'music', 'motion', 'tempo']",
169,17,169_aerobic_aerobic exercise_exercise_excitability,"['aerobic', 'aerobic exercise', 'exercise', 'excitability', 'acute aerobic', 'cortical excitability', 'acute', 'highintensity', 'cortical', 'bout']",
170,17,170_stereotype_threat_stereotype threat_gender,"['stereotype', 'threat', 'stereotype threat', 'gender', 'st', 'performance learning', 'negative', 'women', 'girls', 'worse']",
171,17,171_infants_preterm_infants born_mobile,"['infants', 'preterm', 'infants born', 'mobile', 'born', 'infant', 'high risk', 'risk', 'reaching', 'prone']",
172,16,172_language_l2_automatization_practice,"['language', 'l2', 'automatization', 'practice', 'second', 'comprehension', 'isi', 'classroom', 'massed', 'massed practice']",
173,15,173_observation_action observation_ao_motor imagery,"['observation', 'action observation', 'ao', 'motor imagery', 'imagery', 'mi', 'action', 'imagery training', 'physical training', 'ao mi']",
174,15,174_stuttering_stutter_pws_speech,"['stuttering', 'stutter', 'pws', 'speech', 'adults stutter', 'fluent', 'speech motor', 'pns', 'syllables', 'repeated']",
